City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,23.15,78,30,4.46,PN,1698028496
1,port-aux-francais,-49.35,70.2167,2.11,67,83,13.37,TF,1698028496
2,waitangi,-43.9535,-176.5597,10.46,67,82,3.13,NZ,1698028496
3,sao raimundo das mangabeiras,-7.0219,-45.4811,28.98,50,85,1.93,BR,1698028496
4,invercargill,-46.4,168.35,15.01,69,98,4.47,NZ,1698028496
5,puerto san jose,13.9256,-90.8244,25.69,85,64,1.93,GT,1698028497
6,blackmans bay,-43.0167,147.3167,17.63,71,72,1.79,AU,1698028497
7,taltal,-25.4,-70.4833,16.88,78,50,1.36,CL,1698028221
8,stanley,54.868,-1.6985,2.06,100,0,1.03,GB,1698028492
9,hilo,19.7297,-155.09,27.85,75,0,6.17,US,1698028497
10,qaqortoq,60.7167,-46.0333,1.62,63,100,1.35,GL,1698028498
11,albany,42.6001,-73.9662,6.4,76,100,0.89,US,1698028415
12,leninskoye,41.7589,69.3864,12.13,75,100,1.69,KZ,1698028498
13,college,64.8569,-147.8028,-3.29,90,100,2.06,US,1698028498
14,tiksi,71.6872,128.8694,-10.53,96,100,2.41,RU,1698028498
15,lompoc,34.6391,-120.4579,18.77,95,100,3.09,US,1698028388
16,ust-nera,64.5667,143.2,-7.52,91,100,1.78,RU,1698028499
17,cidreira,-30.1811,-50.2056,18.61,92,91,6.48,BR,1698028499
18,margaret river,-33.95,115.0667,15.35,46,97,4.66,AU,1698028499
19,castillos,-34.1667,-53.8333,18.13,99,100,1.82,UY,1698028499
20,klyuchi,52.2667,79.1667,1.49,88,100,12.59,RU,1698028500
21,lerwick,60.1545,-1.1494,10.0,72,17,5.06,GB,1698028500
22,cabo san lucas,22.8909,-109.9124,27.61,85,40,5.14,MX,1698028229
23,aasiaat,68.7098,-52.8699,-13.93,82,26,3.0,GL,1698028500
24,olyokminsk,60.3736,120.4264,2.34,71,91,5.54,RU,1698028501
25,tamanrasset,22.785,5.5228,20.95,18,0,2.06,DZ,1698028501
26,okhotsk,59.3833,143.3,-1.33,78,45,7.32,RU,1698028501
27,al kharijah,25.4514,30.5464,21.36,46,0,4.11,EG,1698028501
28,iqaluit,63.7506,-68.5145,-7.15,73,20,2.06,CA,1698028213
29,hamilton,39.1834,-84.5333,8.32,85,0,0.89,US,1698028502
30,mahina,-17.5065,-149.489,28.75,78,40,7.72,PF,1698028502
31,nar'yan-mar,67.6713,53.087,-0.79,96,100,6.08,RU,1698028502
32,grytviken,-54.2811,-36.5092,-0.23,85,20,4.38,GS,1698028502
33,tsiombe,-25.3,45.4833,20.44,74,30,3.21,MG,1698028503
34,edinburgh of the seven seas,-37.0676,-12.3116,12.44,73,89,3.47,SH,1698028503
35,lebu,-37.6167,-73.65,9.57,86,2,6.36,CL,1698028503
36,atafu village,-8.5421,-172.5159,29.05,70,78,3.89,TK,1698028503
37,hasaki,35.7333,140.8333,22.94,47,88,2.53,JP,1698028504
38,suntar,62.1444,117.6319,-0.16,92,100,4.75,RU,1698028504
39,uturoa,-16.7333,-151.4333,26.9,79,41,6.42,PF,1698028504
40,sa'dah,16.9402,43.7639,14.38,51,2,2.66,YE,1698028504
41,emirdag,39.0197,31.15,14.92,45,1,1.19,TR,1698028504
42,happy valley-goose bay,53.3168,-60.3315,0.17,64,75,4.12,CA,1698028505
43,punta arenas,-53.15,-70.9167,6.06,70,40,3.09,CL,1698028505
44,mil'kovo,55.6078,37.7956,3.52,95,100,2.47,RU,1698028505
45,koundara,12.4833,-13.3,24.11,92,94,1.21,GN,1698028505
46,shingu,33.7333,135.9833,20.86,48,45,1.91,JP,1698028506
47,lorengau,-2.0226,147.2712,30.54,65,95,3.33,PG,1698028506
48,ribeira grande,38.5167,-28.7,17.65,79,87,1.34,PT,1698028506
49,patterson,37.4716,-121.1297,19.44,68,88,2.39,US,1698028307
50,hadibu,12.65,54.0333,26.76,82,100,5.59,YE,1698028507
51,ushuaia,-54.8,-68.3,6.81,65,0,2.57,AR,1698028507
52,murzuq,25.9155,13.9184,25.08,17,100,2.96,LY,1698028507
53,tweed heads,-28.1817,153.547,34.56,68,0,7.2,AU,1698028245
54,armacao de buzios,-22.7469,-41.8817,20.77,80,92,5.64,BR,1698028431
55,lalganj,25.8667,85.1833,24.97,51,16,0.97,IN,1698028508
56,port elizabeth,-33.918,25.5701,15.16,81,0,6.69,ZA,1698028508
